Taxa,Achnanthes_sp.,Amphora_ovalis,Attheya_zochariasi,Cocconeis_placentula,Coscinodiscus_sp.,Cyclotella_sp.,Cymatopleura_sp.,Cymbella_sp.,Diatoma_vulgare,Diploneis_ovalis,Eunotia_pectinalis,Eunotia_valida,Fragilaria_capucina,Fragilaria_sp.,Frustulia_sp.,Gomphonema_sp.,Gyrosigma_spenceri,Melosira_granulata,Navicula_sp.,Navicula_viridula,Nitzschia_linearis,Nitzschia_sp.,Pinnularia_nobilis,Rhizosolenia_longiseta,Stauroneis_acuta,Surirella_sp.,Synedra_acus,Synedra_sp.,Synedra_ulna,Tabellaria_sp.,?Tetraedron_enorme,Actinastrum_fluviatile,Ankistrodesmus_acicularis,Ankistrodesmus_convolutus,Ankistrodesmus_falcatus,Ankistrodesmus_falcatus_var._mirabilis,Ankistrodesmus_spiralis,Botryococcus_braunii,Chlamydomonas_sp.,Chlorella_sp.,Chlorogonium_elongatum,Chodatella_cilliata,Chodatella_longiseta,Chodatella_wratislaviensis,Closteriopsis_sp.,Closterium_kutzingii,Closterium_parvulum,Closterium_sp.,Coelastrum_microporum,Coelastrum_reticulatum,Coelastrum_sphaericum,Cosmarium_angulosum,Cosmarium_bioculatum,Cosmarium_circulare,Cosmarium_connatum,Cosmarium_depressum,Cosmarium_formosulum,Cosmarium_globosum,Cosmarium_obsoletum,Cosmarium_obtusatum,Cosmarium_quadrum,Cosmarium_sp.,Cosmarium_trilobulatum,Cosmarium_turgidum,Crucigenia_apiculata,Crucigenia_lauterbornei,Crucigenia_quadrata,Crucigenia_rectangularis,Crucigenia_tetrapedia,Dictyosphaeria_cavernosa,Dictyosphaerium_pulchellum,Echinosphaerella_limnetica,Elakatothrix_gelatinosa,Euastrum_elegans,Eudorina_elegans,Gloeocystis_sp.,Golenkinia_paucispina,Gonatozygon_kinahani,Gonium_pectorale,Kirchneriella_contorta,Kirchneriella_lunaris_,Kirchneriella_obesa,Micractinium_pusillum,Mougeotia_sp.,Nephrocytium_agardhianum,Oedogonium_sp.,Oocystis_lacustris,Pediastrum_biradiatum,Pediastrum_duplex,Pediastrum_simplex,Pediastrum_tetras_var._tetraodon,Platrotaenium_trabecula,Pleodorina_californica,Pteromonas_sp.,Quadrigula_sp.,Radiococcus_sp.,Raphidonema_nivale,Scenedesmus_acuminatus,Scenedesmus_arcuatus,Scenedesmus_armatus,Scenedesmus_bicaudatus,Scenedesmus_bijuga,Scenedesmus_denticulatus,Scenedesmus_dimorphus,Scenedesmus_javaensis,Scenedesmus_obliquus,Scenedesmus_perforatas,Scenedesmus_quadricauda,Schroederia_nitzschioides,Schroederia_robusta,Schroederia_setigera,Schroederia_spiralis,Scotiella_sinica,Selenastrum_bibraianum,Selenastrum_minutum,Sphaerocystis_schroeteri,Spondylosium_sp.,Staurastrum_aristiferum,Staurastrum_bifidum,Staurastrum_brevispinum,Staurastrum_connatum,Staurastrum_crenulatum,Staurastrum_gracile,Staurastrum_leptodermum,Staurastrum_paradoxum,Staurastrum_sp.,Staurodesmus_sp.,Tetrachlorella_sp.,Tetradesmus_wisconsinense,Tetraedron_bifurcatum,Tetraedron_caudatum,Tetraedron_hastatum,Tetraedron_hastatum_var._palatinum,Tetraedron_minimum,Tetraedron_trigonum,Tetraedron_trilobulatum,Tetraedron_tumidulum,Tetrallantos_lagerkeimii,Tetrastrum_staurogeniaeforme,Treubaria_crassispina,Treubaria_triappendiculata,Westella_botryoides,Westella_linearis,Xanthidium_cristatum,Dinobryon_cylindricum,Mallomonas_acaroides,Mallomonas_elongata,Mallomonas_oviformis,Synura_sp.,Chroomonas_caudata,Cryptomonas_erosa,Cryptomonas_marssonii,Cryptomonas_ovata,Cryptomonas_rostrata,Anabaena_sp.,Anabaenopsis_circularis,Aphanizomenon_sp.,Aphanocapsa_sp.,Aphanothece_sp.,Chroococcus_sp.,Coelosphaerium_kutzingianum,Cylindrospermopsis_raciborskii,Gomphosphaeria_sp.,Lyngbya_sp.,Merismopedia_elegans,Merismopedia_punctata,Merismopedia_tenuissima,Microcystis_aeruginosa,Microcystis_flosaquae,Microcystis_ichthyoblabe,Microcystis_novacekii,Microcystis_wesenbergii,Pseudanabaena_sp.,Raphidiopsis_sp.,Rhabdogloea_sp.,Spirulina_major,Ceratium_hirundinella,Glenodinium_pulvisculus,Gymnodinium_gyomnodinium,Peridiniopsis_cunningtonii,Peridinium_sp.,Euglena_amoeboides,Euglena_caudata,Euglena_clara,Euglena_deses,Euglena_interrupta,Euglena_oxyuris,Euglena_pisciformis,Lepocinclis_texta,Phacus_acuminatus,Phacus_longicauda,Phacus_pleuronectes,Strombomonas_ensifera,Trachelomonas_granulata,Trachelomonas_oblonga,Trachelomonas_reticulata
FJ2015051,15601.09649,,,10637.10526,,38204.95614,,,,,,,,3545.701754,,,,306260.2632,,,,5318.552632,,,,1772.850877,6914.122807,,,,,,14182.80702,7091.403509,1772.850877,131368.4211,,,3545.701754,542315.2193,,,,,20299.16667,,12409.95614,3545.701754,55667.58772,,,,,,,,,,,,,,3545.701754,,,,28720.2193,43966.71053,,,,,6736.842105,1684.210526,3545.701754,,,,,80842.10526,,,,,33684.21053,1772.850877,6736.842105,,,,,,,,6736.842105,,,10282.54386,,,14182.80702,,,,,,25263.15789,7091.403509,,90415.39474,,,,36077.54386,1684.210526,6736.842105,,,,,,1684.210526,,,,1684.210526,1772.850877,,,3457.061404,,,,3545.701754,6825.482456,,1772.850877,6736.842105,1684.210526,,,,,1772.850877,,,,5052.631579,,22072.01754,,,5052.631579,,,,,0,0,94670.35088,,,,,,,50526.31579,,,,,40421.05263,32620.48246,64000,,44321.27193,,1772.850877,,,,,,,,,,,,,,1772.850877,,,,
FJ2015061,19066.50943,,,34319.71698,,236424.717,,,,,,,,,,,,205918.3019,,,,,,,3813.301887,3813.301887,,,,,,,72452.73585,38133.01887,,,,7626.603774,472849.434,,,,,,,,,,7626.603774,7626.603774,,,7626.603774,,,,,,,,,,,,,,,80079.33962,,,,,,0,15253.20755,,,,,,,,,,,0,19066.50943,,,,,,,392770.0943,,3813.301887,,,,3813.301887,38133.01887,,,,,,,,57199.5283,3813.301887,,,,26693.11321,,,,,,,,3813.301887,3813.301887,,,,,,3813.301887,,,,3813.301887,3813.301887,,,,,,,,,3813.301887,,,,,,,,,,,,,,,0,0,72452.73585,,,,,7626.603774,38133.01887,,,,,,,3813.301887,,,,,,,,,,,,,,,,,,,3813.301887,,,,
FJ2015069,69141.18421,,,42548.42105,,95733.94737,,,,,,,,,,,,351024.4737,,,,,,,,,,,,,,,37229.86842,,,,,5318.552632,,452076.9737,,,,,10637.10526,53185.52632,,,5318.552632,31911.31579,,,15955.65789,,,,,,,,,,,10637.10526,,31911.31579,,,,,,,,0,10637.10526,,,,,,,,,,,0,15955.65789,,,,,,,1196674.342,,5318.552632,,,10637.10526,,10637.10526,,,,,,,,,5318.552632,,,,5318.552632,,,,,,,,,,,,,,,,,47866.97368,,,26592.76316,,,,,,,21274.21053,,,,,,,,,,,,,,,,,0,0,26592.76316,,,,,,74459.73684,,,,,,,15955.65789,5318.552632,,,,,,,,,,,,,,,,,,,,,,
FJ2015070,35665.58824,,,31702.7451,,55479.80392,,,,,,,,,,,,51516.96078,3962.843137,,,,,,,,,,,,,,67368.33333,,15851.37255,,,,,455726.9608,,,,,,,,,7925.686275,11888.52941,,,7925.686275,3962.843137,55479.80392,,,,,,3962.843137,3962.843137,,,,31702.7451,,11888.52941,,,,,,3962.843137,3962.843137,3962.843137,,,,,,,,,,0,11888.52941,,,,,,,919379.6078,,,,,3962.843137,,,,,,,,,,,,,,,11888.52941,,,,,,,,,,,,,,,,,19814.21569,,11888.52941,11888.52941,,3962.843137,,,,,11888.52941,,,,,,,,,39628.43137,,,,,,,,0,0,39628.43137,,,,,,31702.7451,,,,,,,3962.843137,,,,,,,,,,,,,,,,,,,,,,,7925.686275
FJ2015071,72550.51282,5182.179487,,31093.07692,,57003.97436,,,,,,,,,,,,62186.15385,,,,,,,,,,,,,,,15546.53846,,10364.35897,,,10364.35897,15546.53846,295384.2308,,,,,25910.89744,,,,15546.53846,51821.79487,,,5182.179487,,,,15546.53846,,,,5182.179487,,,,,,108825.7692,,,,,,,10364.35897,,,,,,,,,,,,0,36275.25641,,,,,5182.179487,,1476921.154,,10364.35897,,5182.179487,,,5182.179487,,,,,,,,,,,,,5182.179487,,,,,,,,20728.71795,15546.53846,10364.35897,,,,,,,,,,5182.179487,20728.71795,15546.53846,,,,,5182.179487,,,,,,,,,,,,,,,,,0,0,134736.6667,,,,,,,,,,,,,15546.53846,,,,,,,,,,,,,,,,,,,,,,,
FJ2015072,35665.58824,,,59442.64706,,47554.11765,,11888.52941,,,,,,,,,,11888.52941,,,,,,,,,23777.05882,,,,,,59442.64706,,,,,,,106996.7647,11888.52941,,,,,,,,,,142662.3529,,11888.52941,71331.17647,,,,,,,11888.52941,,,,,,,154550.8824,,,,,,0,,,,11888.52941,,,,,,,,0,11888.52941,,,,,,,2187489.412,,,,,,,249659.1176,,,,,,,,,,,,,,,,,,,,,83219.70588,,,142662.3529,,,,,,,,11888.52941,23777.05882,23777.05882,,,,,,35665.58824,,,,,,,,,71331.17647,,,,,,,,0,0,2258820.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11888.52941,,,,,,,71331.17647
FJ2015073,31438.55556,,,94315.66667,,89824.44444,,,,,,,13473.66667,,,,,22456.11111,,,,,,,,,,,,,,,80842,,,,,4491.222222,,754525.3333,,,,,8982.444444,,,,,44912.22222,,,98806.88889,,98806.88889,,,,,,,,,,,,,35929.77778,,,,,,0,,,,8982.444444,,,8982.444444,,,,,0,,,,,,,,269473.3333,,22456.11111,,,,,94315.66667,,,,,,,,,,,,,8982.444444,,17964.88889,,,,,,139227.8889,,,184140.1111,,,,,,,,4491.222222,4491.222222,40421,,,,,,,,,,,,,,,143719.1111,,,,,,,8982.444444,0,0,26947.33333,,,,4491.222222,,35929.77778,,,,,,,26947.33333,,,,4491.222222,,,,,,,4491.222222,,,,,,,,,4491.222222,,,4491.222222
FJ2015074,113684.0625,,,151578.75,,372631.0938,,,,6315.78125,,,,,,,,63157.8125,,,,,,,,,44210.46875,,18947.34375,,,,189473.4375,,12631.5625,,,,,1206314.219,,6315.78125,,,31578.90625,6315.78125,,,12631.5625,6315.78125,6315.78125,,37894.6875,,6315.78125,,,,,,37894.6875,,,25263.125,,,,44210.46875,,,,,12631.5625,25263.125,,,,,,18947.34375,,,,,,0,12631.5625,,,,,,,75789.375,,31578.90625,,6315.78125,6315.78125,,50526.25,,6315.78125,,,,,,,,,,,18947.34375,,69473.59375,,,,,,101052.5,,,25263.125,,,,,,6315.78125,,,,37894.6875,,,,,,,,,,,,,,,31578.90625,,,,,,,,0,0,31578.90625,,,,,,44210.46875,,,,,,,63157.8125,12631.5625,,,,,,,,,,,,,,,44210.46875,,,,,18947.34375,,12631.5625
FJ2015075,29363.82151,,,24164.72826,,374260.595,2196.793478,,,,,,,,,,,93437.01945,,,,,,52210.52632,,,47084.63101,,,,,6736.842105,72494.18478,4393.586957,6590.380435,47157.89474,,,,623669.8856,,4393.586957,,,17720.8095,,,20210.52632,20210.52632,,,10983.96739,,,,,,2196.793478,,,,,,,,,,,,,20210.52632,,23578.94737,2196.793478,,,,,,62315.78947,2196.793478,,,,33684.21053,0,30169.3278,,,,,,,,,,,60631.57895,,,84942.76888,,,,,2196.793478,3368.421053,8787.173913,,8787.173913,,1684.210526,,17354.68822,,18526.31579,,,4393.586957,,,12668.17792,2196.793478,,,,,,,,,,,3368.421053,17208.22654,4393.586957,,,1684.210526,,,,,,,,,10105.26316,,43789.47368,1684.210526,,20210.52632,,,6590.380435,2196.793478,0,0,262297.4571,,23578.94737,,,,,24457.6516,3007410.272,0,0,0,0,13839.80549,26654.44508,,,,,,,1684.210526,,3368.421053,,,,,1684.210526,,21967.93478,4393.586957,3368.421053,,,8421.052632,48475.91819
FJ2015090,37894.6875,,,16842.08333,,214736.5625,,,,,,,4210.520833,8421.041667,4210.520833,,,37894.6875,,,,,,,,,16842.08333,,,,,,71578.85417,8421.041667,,,,,,1170524.792,,4210.520833,,,50526.25,,,,8421.041667,4210.520833,4210.520833,,4210.520833,,,,,,,,,,,,,,,12631.5625,,,,,,16842.08333,,,4210.520833,,,,4210.520833,,,,,0,16842.08333,,,,,,,,,,,12631.5625,,,21052.60417,4210.520833,,,,,,,,,,,,8421.041667,,16842.08333,,,,,4210.520833,4210.520833,,,,,,,,,,,,8421.041667,,,,,,,,,,,,,,,,168420.8333,,,21052.60417,,,,,0,0,25263.125,,8421.041667,,,,25263.125,,,,,,,12631.5625,8421.041667,,,,4210.520833,,,,,,,,,,,8421.041667,,,4210.520833,,,,25263.125
FJ2015094,56842.03125,,,50526.25,,151578.75,,,,,,,3157.890625,,,3157.890625,,63157.8125,3157.890625,,,,,,,,22105.23438,,,,,,22105.23438,,3157.890625,,,,,770525.3125,,3157.890625,,,15789.45313,,,,,9473.671875,,,,,,,,,,,,,,,,,9473.671875,6315.78125,,,,,,6315.78125,,,,,,3157.890625,,,,,,0,47368.35938,,,,,,,34736.79688,,6315.78125,,3157.890625,,,15789.45313,3157.890625,,,,,,,,3157.890625,,,,50526.25,,,6315.78125,,,,,,,,3157.890625,,,,,,,,,9473.671875,9473.671875,,,,,,,,15789.45313,,,,,,,25263.125,,,,,,,6315.78125,0,0,31578.90625,,3157.890625,,,,6315.78125,,0,356841.6406,0,0,0,,22105.23438,,,,,,,,,,,,,,,,,,,,28421.01563,,37894.6875
FJ2015095,20210.5,3368.416667,,30315.75,,43789.41667,,,,,,,,,,,,47157.83333,,,,3368.416667,,,,,16842.08333,,,,,,53894.66667,,,,,,3368.416667,845472.5833,,,,,16842.08333,,,,,6736.833333,6736.833333,,,,,,,,,,6736.833333,3368.416667,,,,,13473.66667,16842.08333,16842.08333,,,,,10105.25,,,,,,,,,,,,0,6736.833333,,,,,,,,,,,,,,20210.5,,,,,,,,,3368.416667,,,,20210.5,,3368.416667,,,,,,,,,,,,,,,,,,6736.833333,6736.833333,,,,,,,,3368.416667,,,,,,,370525.8333,,,16842.08333,,,,,0,0,20210.5,,6736.833333,,3368.416667,,23578.91667,,0,47157.83333,0,0,0,,33684.16667,,,,6736.833333,,,,,,,,,,,,,,,,,,40421
FJ2015096,16611.36986,,,22148.49315,,35991.30137,,,,,,,,,,5537.123288,,152270.8904,,,,,2768.561644,,,,2768.561644,,,,,,58139.79452,,30454.17808,,,,,570323.6986,,,,,11074.24658,,,,,,8305.684932,,5537.123288,,,,,,,,8305.684932,,,,,,,16611.36986,33222.73973,2768.561644,,,,16611.36986,,,,2768.561644,,5537.123288,,,,,,0,11074.24658,,2768.561644,,,,,,,8305.684932,,8305.684932,,2768.561644,38759.86301,,,,,,,,,13842.80822,,,,13842.80822,,5537.123288,,,,,,,,,,,,,,,,,,,11074.24658,,,,,,5537.123288,,2768.561644,,,,,,,99668.21918,,,,,,,,0,0,38759.86301,,,,2768.561644,,24917.05479,,0,0,0,0,0,,69214.0411,,,,2768.561644,,,,,,,,,,,5537.123288,,,,5537.123288,,,
