Taxa,Algal groups
Dinobryon_cylindricum,Chrysophyta
Mallomonas_acaroides,Chrysophyta
Mallomonas_elongata,Chrysophyta
Mallomonas_oviformis,Chrysophyta
Synura_sp.,Chrysophyta
Chroomonas_caudata,Cryptophyta
Cryptomonas_erosa,Cryptophyta
Cryptomonas_marssonii,Cryptophyta
Cryptomonas_ovata,Cryptophyta
Cryptomonas_rostrata,Cryptophyta
Anabaena_sp.,Cyanophyta
Anabaenopsis_circularis,Cyanophyta
Aphanizomenon_sp.,Cyanophyta
Aphanocapsa_sp.,Cyanophyta
Aphanothece_sp.,Cyanophyta
Chroococcus_sp.,Cyanophyta
Coelosphaerium_kutzingianum,Cyanophyta
Cylindrospermopsis_raciborskii,Cyanophyta
Gomphosphaeria_sp.,Cyanophyta
Lyngbya_sp.,Cyanophyta
Merismopedia_elegans,Cyanophyta
Merismopedia_punctata,Cyanophyta
Merismopedia_tenuissima,Cyanophyta
Microcystis_aeruginosa,Cyanophyta
Microcystis_flosaquae,Cyanophyta
Microcystis_ichthyoblabe,Cyanophyta
Microcystis_novacekii,Cyanophyta
Microcystis_wesenbergii,Cyanophyta
Pseudanabaena_sp.,Cyanophyta
Raphidiopsis_sp.,Cyanophyta
Rhabdogloea_sp.,Cyanophyta
Spirulina_major,Cyanophyta
Ceratium_hirundinella,Dianophyta
Glenodinium_pulvisculus,Dianophyta
Gymnodinium_gyomnodinium,Dianophyta
Peridiniopsis_cunningtonii,Dianophyta
Peridinium_sp.,Dianophyta
Euglena_amoeboides,Euglenophyta
Euglena_caudata,Euglenophyta
Euglena_clara,Euglenophyta
Euglena_deses,Euglenophyta
Euglena_interrupta,Euglenophyta
Euglena_oxyuris,Euglenophyta
Euglena_pisciformis,Euglenophyta
Lepocinclis_texta,Euglenophyta
Phacus_acuminatus,Euglenophyta
Phacus_longicauda,Euglenophyta
Phacus_pleuronectes,Euglenophyta
Strombomonas_ensifera,Euglenophyta
Trachelomonas_granulata,Euglenophyta
Trachelomonas_oblonga,Euglenophyta
Trachelomonas_reticulata,Euglenophyta
Centritractus_belonophorus,Xanthophyta
