"","Phylum","species_name","species_code"
"70","Cyanobacteria","Cyanobacteria_Rhabdogloea_smithii","P70"
"71","Ochrophyta","Ochrophyta_Chrysosphaerella_longispina","P71"
"72","Bacillariophyta","Bacillariophyta_Lindavia_bodanica","P72"
"73","Dinophyta","Dinophyta_Peridinium_limbatum","P73"
"74","Ochrophyta","Ochrophyta_Bitrichia_sp.","P74"
"75","Bacillariophyta","Bacillariophyta_Synedra_sp.","P75"
"76","Bacillariophyta","Bacillariophyta_Fragilaria_capucina","P76"
"77","Bacillariophyta","Bacillariophyta_unknown_sp.centric","P77"
"78","Chlorophyta","Chlorophyta_Ankistrodesmus_falcatus","P78"
"79","Chlorophyta","Chlorophyta_Ankistrodesmus_fusiformis","P79"
"80","Euglenophyta","Euglenophyta_Euglena_sp.","P80"
"81","Dinophyta","Dinophyta_unknown_sp.1","P81"
"82","Cyanobacteria","Cyanobacteria_Pseudanabaena_sp.","P82"
"83","Ochrophyta","Ochrophyta_Dinobryon_attenuatum","P83"
"84","Ochrophyta","Ochrophyta_Isthmochloron_trispinatum","P84"
"85","Chlorophyta","Chlorophyta_Botryococcus_braunii","P85"
"86","Cryptophyta","Cryptophyta_Cryptomonas_sp.","P86"
"87","Ochrophyta","Ochrophyta_Dinobryon_crenulatum","P87"
"88","Chlorophyta","Chlorophyta_Scenedesmus_ecornis","P88"
"89","Cyanobacteria","Cyanobacteria_Planktothrix_sp.","P89"
"90","Cyanobacteria","Cyanobacteria_unknown_sp.coccoid_rod","P90"
"91","Bacillariophyta","Bacillariophyta_Frustulia_rhomboides","P91"
"92","Chlorophyta","Chlorophyta_Desmodesmus_denticulatus","P92"
"93","Chlorophyta","Chlorophyta_unknown_sp.colonial_coccoid_aggregate","P93"
"94","Ochrophyta","Ochrophyta_Dinobryon_sociale_var._americana","P94"
"95","Dinophyta","Dinophyta_Peridinium_sp.","P95"
"96","Dinophyta","Dinophyta_Katodinium_sp.","P96"
"97","Cyanobacteria","Cyanobacteria_Merismopedia_punctata","P97"
"98","Cyanobacteria","Cyanobacteria_Aphanocapsa_incerta","P98"
"99","Cyanobacteria","Cyanobacteria_Nodularia_unknown","P99"
"100","Ochrophyta","Ochrophyta_Kephyrion_limneticum","P100"
"101","Bacillariophyta","Bacillariophyta_unknown_sp.1","P101"
"102","Chlorophyta","Chlorophyta_unknown_sp.oblong_green","P102"
"103","Bacillariophyta","Bacillariophyta_Navicula_sp.","P103"
"104","Cyanobacteria","Cyanobacteria_Aphanothece_sp.","P104"
"105","Ochrophyta","Ochrophyta_Pseudokephyrion_latum","P105"
"106","Cyanobacteria","Cyanobacteria_Phormidium_sp.","P106"
"107","Bacillariophyta","Bacillariophyta_Nitzschia_sp.","P107"
"108","Bacillariophyta","Bacillariophyta_Eunotia_tauntoniensis","P108"
"109","Cyanobacteria","Cyanobacteria_Leptolyngbya_sp.","P109"
"110","Cyanobacteria","Cyanobacteria_Tapinothrix_janthina","P110"
"111","Ochrophyta","Ochrophyta_unknown_sp.5","P111"
"112","Cyanobacteria","Cyanobacteria_Oscillatoria_sp.","P112"
"113","Chlorophyta","Chlorophyta_Oocystis_borgei","P113"
"114","Cyanobacteria","Cyanobacteria_Rhabdoderma_sp.","P114"
"115","Ochrophyta","Ochrophyta_unknown_sp.3","P115"
"116","Euglenophyta","Euglenophyta_Trachelomonas_hispida","P116"
"117","Cyanobacteria","Cyanobacteria_Aphanizomenon_flosaquae","P117"
"118","Dinophyta","Dinophyta_unknown_sp.cyst","P118"
"119","Cyanobacteria","Cyanobacteria_unknown_sp.filament","P119"
"120","Euglenophyta","Euglenophyta_Trachelomonas_volvocina","P120"
"121","Ochrophyta","Ochrophyta_Dinobryon_cylindricum","P121"
"122","Cyanobacteria","Cyanobacteria_Anabaena_sp.","P122"
"123","Cyanobacteria","Cyanobacteria_Coelosphaerium_sp.","P123"
"124","Cyanobacteria","Cyanobacteria_unknown_sp._coccoid","P124"
"125","Chlorophyta","Chlorophyta_Actinastrum_hantzschii","P125"
"126","Bacillariophyta","Bacillariophyta_Eunotia_minor","P126"
"127","Bacillariophyta","Bacillariophyta_Eunotia_flexuosa","P127"
"128","Ochrophyta","Ochrophyta_unknown_sp.4","P128"
"129","Chlorophyta","Chlorophyta_Pteromonas_sp.","P129"
"130","Chlorophyta","Chlorophyta_Willea_rectangularis","P130"
"131","Cyanobacteria","Cyanobacteria_unknown_sp.colonial_coccoid","P131"
"132","Chlorophyta","Chlorophyta_unknown_sp.","P132"
"133","Chlorophyta","Chlorophyta_Dictyosphaerium_ehrenbergianum","P133"
"134","Cyanobacteria","Cyanobacteria_Gomphosphaeria_sp.","P134"
"135","Bacillariophyta","Bacillariophyta_Pinnularia_sp.","P135"
"136","Cyanobacteria","Cyanobacteria_Woronichinia_sp.","P136"
"137","Bacillariophyta","Bacillariophyta_Diploneis_sp.","P137"
"138","Cyanobacteria","Cyanobacteria_Komvophoron_schmidlei","P138"
"139","Chlorophyta","Chlorophyta_Desmodesmus_dispar","P139"
"140","Chlorophyta","Chlorophyta_Oocystis_submarina","P140"
"141","Chlorophyta","Chlorophyta_Gloeocystis_vesiculosa","P141"
"142","Bacillariophyta","Bacillariophyta_Melosira_varians","P142"
"143","Chlorophyta","Chlorophyta_Gonium_pectorale","P143"
"144","Chlorophyta","Chlorophyta_Eudorina_elegans","P144"
"145","Chlorophyta","Chlorophyta_Coelastrum_sp.","P145"
"146","Cyanobacteria","Cyanobacteria_Phormidium_granulatum","P146"
"147","Bacillariophyta","Bacillariophyta_Stephanodiscus_sp.","P147"
"148","Bacillariophyta","Bacillariophyta_Amorpha_unknown","P148"
"149","Bacillariophyta","Bacillariophyta_Pleurosira_laevis","P149"
"150","Chlorophyta","Chlorophyta_Cladophora_glomerata","P150"
"151","Bacillariophyta","Bacillariophyta_Cocconeis_sp.","P151"
"152","Bacillariophyta","Bacillariophyta_Urosolenia_eriensis","P152"
"153","Chlorophyta","Chlorophyta_Quadrigula_closterioides","P153"
"154","Chlorophyta","Chlorophyta_Chlamydocapsa_planctonica","P154"
"155","Ochrophyta","Ochrophyta_Mallomonas_tonsurata","P155"
"156","Cyanobacteria","Cyanobacteria_Gloeocapsa_aeruginosa","P156"
"157","Cyanobacteria","Cyanobacteria_Merismopedia_sp.","P157"
"158","Ochrophyta","Ochrophyta_Kephyrion_ovale","P158"
"159","Ochrophyta","Ochrophyta_Pseudokephyrion_parvum","P159"
"160","Bacillariophyta","Bacillariophyta_Gomphonema_sp.","P160"
"161","Chlorophyta","Chlorophyta_Gregiochloris_lacustris","P161"
"162","Ochrophyta","Ochrophyta_Gloeobotrys_limneticus","P162"
"163","Dinophyta","Dinophyta_Peridinium_cinctum","P163"
"164","Ochrophyta","Ochrophyta_Chrysosphaerella_sp.","P164"
"165","Chlorophyta","Chlorophyta_Pseudopediastrum_boryanum","P165"
"166","Cyanobacteria","Cyanobacteria_Geitlerinema_splendidum","P166"
"167","Bacillariophyta","Bacillariophyta_Frustulia_saxonica","P167"
"168","Chlorophyta","Chlorophyta_Ankistrodesmus_fractus","P168"
"169","Euglenophyta","Euglenophyta_Trachelomonas_cylindrica","P169"
"170","Chlorophyta","Chlorophyta_Tetraedron_minimum","P170"
"171","Chlorophyta","Chlorophyta_Scenedesmus_quadricauda","P171"
"172","Chlorophyta","Chlorophyta_Dimorphococcus_lunatus","P172"
"173","Bacillariophyta","Bacillariophyta_Surirella_unknown","P173"
"174","Cyanobacteria","Cyanobacteria_Rhabdoderma_lineare","P174"
"175","Cyanobacteria","Cyanobacteria_Gomphosphaeria_aponina","P175"
"176","Ochrophyta","Ochrophyta_Bumilleria_sp.","P176"
"177","Ochrophyta","Ochrophyta_Asterogloea_sp.","P177"
"178","Ochrophyta","Ochrophyta_Octacanthidium_bifidum","P178"
"179","Cyanobacteria","Cyanobacteria_Lyngbya_unknown","P179"
"180","Cyanobacteria","Cyanobacteria_Merismopedia_glauca","P180"
"181","Chlorophyta","Chlorophyta_Willea_apiculata","P181"
"182","Chlorophyta","Chlorophyta_Tetradesmus_smithii","P182"
"183","Cyanobacteria","Cyanobacteria_unknown_sp.1colonial_coccoid","P183"
"184","Cyanobacteria","Cyanobacteria_unknown_sp.1","P184"
"185","Chlorophyta","Chlorophyta_Desmodesmus_bicaudatus","P185"
"186","Bacillariophyta","Bacillariophyta_Neidium_sp.","P186"
"187","Chlorophyta","Chlorophyta_Ankistrodesmus_sp.","P187"
"188","Chlorophyta","Chlorophyta_Scenedesmus_armatus","P188"
"189","Euglenophyta","Euglenophyta_Trachelomonas_sp.","P189"
"190","Bacillariophyta","Bacillariophyta_Nitzschia_acicularis","P190"
"191","Chlorophyta","Chlorophyta_Scenedesmus_brevispina","P191"
"192","Dinophyta","Dinophyta_Glenodinium_sp.","P192"
"193","Chlorophyta","Chlorophyta_Acutodesmus_acutiformis","P193"
"194","Dinophyta","Dinophyta_unknown_sp.","P194"
"195","Chlorophyta","Chlorophyta_Tetraedron_caudatum","P195"
"196","Bacillariophyta","Bacillariophyta_Iconella_curvula","P196"
"197","Chlorophyta","Chlorophyta_Desmodesmus_granulatus","P197"
"198","Cyanobacteria","Cyanobacteria_Chroococcus_prescotti","P198"
"199","Cyanobacteria","Cyanobacteria_Microcystis_sp.","P199"
"200","Chlorophyta","Chlorophyta_Desmodesmus_serratus","P200"
"201","Ochrophyta","Ochrophyta_Chlorobotrys_sp.","P201"
"202","Cyanobacteria","Cyanobacteria_Snowella_lacustris","P202"
"203","Bacillariophyta","Bacillariophyta_Rhopalodia_sp.","P203"
"204","Ochrophyta","Ochrophyta_unknown_sp.loricate","P204"
"205","Ochrophyta","Ochrophyta_Tribonema_bombycinum","P205"
"206","Chlorophyta","Chlorophyta_Coelastrum_sphaericum","P206"
"207","Chlorophyta","Chlorophyta_Ulothrix_sp.","P207"
"208","Bacillariophyta","Bacillariophyta_unknown_sp.2","P208"
"209","Cyanobacteria","Cyanobacteria_Gloeocapsa_punctata","P209"
"210","Ochrophyta","Ochrophyta_Chrysocapsa_planktonica","P210"
"211","Cyanobacteria","Cyanobacteria_Kamptonema_formosum","P211"
"212","Chlorophyta","Chlorophyta_Tetrabaena_socialis","P212"
"213","Cyanobacteria","Cyanobacteria_Trichodesmium_lacustre","P213"
"214","Cyanobacteria","Cyanobacteria_unknown_sp._filament_heterocytes","P214"
"215","Dinophyta","Dinophyta_unknown_sp.unarmored","P215"
"216","Chlorophyta","Chlorophyta_Treubaria_setigerum","P216"
"217","Ochrophyta","Ochrophyta_Heterothrix_sp.","P217"
"218","Chlorophyta","Chlorophyta_Crucigenia_quadrata","P218"
"219","Chlorophyta","Chlorophyta_Crucigenia_fenestrata","P219"
"220","Chlorophyta","Chlorophyta_Crucigenia_tetrapedia","P220"
"221","Cyanobacteria","Cyanobacteria_Geitlerinema_sp.","P221"
"222","Bacillariophyta","Bacillariophyta_Achnanthidium_sp.","P222"
"223","Ochrophyta","Ochrophyta_Kephyrion_littorale","P223"
"224","Chlorophyta","Chlorophyta_Coelastrum_cambricum","P224"
"225","Bacillariophyta","Bacillariophyta_Meridion_unknown","P225"
"226","Cyanobacteria","Cyanobacteria_Microcystis_aeruginosa","P226"
"227","Chlorophyta","Chlorophyta_Tetraselmis_sp.","P227"
"228","Cyanobacteria","Cyanobacteria_Merismopedia_elegans","P228"
"229","Chlorophyta","Chlorophyta_Closteriopsis_longissima","P229"
"230","Cyanobacteria","Cyanobacteria_Stigonema_unknown","P230"
"231","Cyanobacteria","Cyanobacteria_Raphidiopsis_curvata","P231"
"232","Chlorophyta","Chlorophyta_Microspora_sp.","P232"
"233","Dinophyta","Dinophyta_Ceratium_hirudinella","P233"
"234","Cyanobacteria","Cyanobacteria_Coelosphaerium_kuetzingianum","P234"
"235","Chlorophyta","Chlorophyta_Golenkinia_radiata","P235"
"236","Chlorophyta","Chlorophyta_Scenedesmus_arcuatus","P236"
"237","Bacillariophyta","Bacillariophyta_Aulacoseira_granulata","P237"
"238","Chlorophyta","Chlorophyta_Cylindrocapsa_geminella","P238"
"239","Chlorophyta","Chlorophyta_Pediastrum_duplex","P239"
"240","Chlorophyta","Chlorophyta_Coelastrum_proboscideum","P240"
"241","Cyanobacteria","Cyanobacteria_Microcystis_natans","P241"
"242","Chlorophyta","Chlorophyta_Parapediastrum_biradiatum","P242"
"243","Chlorophyta","Chlorophyta_Monoraphidium_convolutum","P243"
"244","Cyanobacteria","Cyanobacteria_Chroococcus_turgidus","P244"
"245","Euglenophyta","Euglenophyta_Phacus_unknown","P245"
"246","Ochrophyta","Ochrophyta_Uroglenopsis_americana","P246"
"247","Ochrophyta","Ochrophyta_Dinobryon_cylindricum_var._palustre","P247"
"248","Bacillariophyta","Bacillariophyta_Gomphonema_acuminatum_var._coronatum_","P248"
"249","Bacillariophyta","Bacillariophyta_Urosolenia_longiseta","P249"
"250","Cyanobacteria","Cyanobacteria_Woronichinia_naegeliana","P250"
"251","Ochrophyta","Ochrophyta_Ophiocytium_capitatum","P251"
"252","Chlorophyta","Chlorophyta_Gloeocystis_sp.","P252"
"253","Ochrophyta","Ochrophyta_Synuropsis_gracilis","P253"
"254","Ochrophyta","Ochrophyta_unknown_sp.coccoid","P254"
"255","Dinophyta","Dinophyta_Peridinium_willei","P255"
"256","Ochrophyta","Ochrophyta_Dendromonas_cryptostylis","P256"
"257","Euglenophyta","Euglenophyta_Trachelomonas_abrupta","P257"
"258","Bacillariophyta","Bacillariophyta_Gomphoneis_sp.","P258"
"259","Chlorophyta","Chlorophyta_Desmodesmus_abundans","P259"
"260","Ochrophyta","Ochrophyta_Pseudokephyrion_conicum","P260"
"261","Cyanobacteria","Cyanobacteria_Dolichospermum_flosaquae","P261"
"262","Ochrophyta","Ochrophyta_Pseudokephyrion_striatum","P262"
"263","Cyanobacteria","Cyanobacteria_unknown_sp.coccoid1to3microns","P263"
"264","Chlorophyta","Chlorophyta_Tetraspora_sp.","P264"
"265","Chlorophyta","Chlorophyta_Coelastrum_indicum","P265"
"266","Chlorophyta","Chlorophyta_Pediastrum_obtusum","P266"
"267","Chlorophyta","Chlorophyta_Stauridium_tetras","P267"
"268","Chlorophyta","Chlorophyta_Pseudokirchneriella_elongata","P268"
"269","Euglenophyta","Euglenophyta_Strombomonas_deflandrei","P269"
"270","Ochrophyta","Ochrophyta_Dinobryon_suecicum","P270"
"271","Bacillariophyta","Bacillariophyta_Gomphonema_acuminatum","P271"
"272","Ochrophyta","Ochrophyta_Meringosphaera_spinosa","P272"
"273","Chlorophyta","Chlorophyta_Scenedesmus_acuminatus","P273"
"274","Bacillariophyta","Bacillariophyta_Aulacoseira_distans","P274"
"275","Chlorophyta","Chlorophyta_Willea_crucifera","P275"
"276","Ochrophyta","Ochrophyta_Ophiocytium_sp.","P276"
"277","Chlorophyta","Chlorophyta_Stigeoclonium_lubricum","P277"
"278","Chlorophyta","Chlorophyta_Ankistrodesmus_fasciculatus","P278"
"279","Chlorophyta","Chlorophyta_Nephrocytium_agardhianum","P279"
"280","Cyanobacteria","Cyanobacteria_Merismopedia_trolleri","P280"
"281","Cyanobacteria","Cyanobacteria_Phormidium_autumnale","P281"
"282","Chlorophyta","Chlorophyta_Pediastrum_sp.","P282"
"283","Chlorophyta","Chlorophyta_Monactinus_simplex","P283"
"284","Ochrophyta","Ochrophyta_Ducellieria_chodatii_var._armata","P284"
"285","Euglenophyta","Euglenophyta_Trachelomonas_kelloggii","P285"
"286","Euglenophyta","Euglenophyta_Trachelomonas_acanthophora","P286"
"287","Euglenophyta","Euglenophyta_Trachelomonas_armata","P287"
"288","Chlorophyta","Chlorophyta_Pediastrum_tetras_var._tetraodon","P288"
"289","Euglenophyta","Euglenophyta_Trachelomonas_horrida","P289"
"290","Euglenophyta","Euglenophyta_Trachelomonas_pulchella","P290"
"291","Euglenophyta","Euglenophyta_Trachelomonas_bacillifer","P291"
"292","Euglenophyta","Euglenophyta_Trachelomonas_pulcherrima_var._minor","P292"
"293","Bacillariophyta","Bacillariophyta_Anomoeoneis_sp.","P293"
"294","Chlorophyta","Chlorophyta_Chlorolobion_braunii","P294"
"295","Bacillariophyta","Bacillariophyta_Pinnularia_latevittata_var._domingensis","P295"
"296","Cyanobacteria","Cyanobacteria_Keratococcus_rhaphidioides","P296"
"297","Cyanobacteria","Cyanobacteria_Nostoc_sp.","P297"
"298","Chlorophyta","Chlorophyta_Coelastrum_microporum","P298"
"299","Chlorophyta","Chlorophyta_Desmodesmus_spinosus","P299"
