,Depth,Transparency,WT,pH,DO,Chla,Turbidity,EC,ORP,TC,TOC,TN,NH4N,NO3N,NO2N,TP,PO4P,TSIc,group
FJ2016091,33,210,23.19,7.55,7.67,3.02,6.4,42.3,373,3.13,0.6706,0.97436,0.03102,0.79702,0.00229,0.02799,0.00218,45.53149016,low
FJ2016093,33.2,210,21.6,6.99,8.6,5.32,0,16.5,383,4.37,1.42,1.1181,0.03102,0.79271,0.00201,0.01232,0.00812,46.60212295,low
FJ2016095,32,211,20.79,6.61,7.71,3.11,0,19,405,5.514,1.244,1.29264,0.35484,0.61163,0.01039,0.02799,0.00218,45.66672157,low
FJ2017001,32.6,228,20.85,7.02,9.2,7.8,1.6,16,421,3.898,1.049,1.00517,0.02004,0.73666,0.00453,0.01623,0.00218,48.92508993,low
FJ2017008,33.4,231,19.27,7.06,9.33,4.46,0.1,15,324,3.47,0.8279,0.9949,0.00907,0.77978,0.00453,0.02015,0.00218,46.41653579,low
FJ2017017,32.3,319,19.22,6.82,8.86,4.41,0.2,14.8,330,3.695,0.9465,0.9025,0.11884,0.78409,0.00257,0.02015,0.00218,44.97541661,low
FJ2017018,32.6,240,18.31,8.56,8.43,3.66,1.4,13.9,339,3.897,1.362,1.01543,0.00907,0.78409,0.000617,0.02407,0.00416,45.62356038,low
FJ2017019,32.2,266,16.885,7.03,9.17,1.76,0,14.9,399,4.058,0.4244,0.9641,0.03102,0.74529,0.00537,0.02799,0.00218,41.65950639,low
FJ2017020,31.4,222,17.97,7.27,9.95,5.18,0,15.3,384,6.232,3.65,0.9641,0.05846,0.71942,0.00564,0.02799,0.00416,48.15186675,low
FJ2017022,28.3,234,16.85,7.29,8.96,1.77,0,14.5,380,5.499,2.869,0.98463,0.08042,0.71511,0.0157,0.02407,0.00218,41.88344054,low
FJ2017023,30.2,276,18.01,7.24,9.8,6.14,0,14.8,357,3.725,1.982,1.13864,0.02004,0.72804,0.01514,0.02015,0.00416,47.34826033,low
FJ2017024,30.2,244,17.67,7.36,9.87,5.46,0,14.3,390,4.446,1.99,1.10784,0.09688,0.7108,0.01011,0.02799,0.00614,48.02634258,low
FJ2017040,29.4,240,19.27,7.74,10.24,2.56,0,16,453,4.71,2.288,1.09757,0.07493,0.73666,0.00955,0.02407,0.00416,43.72997355,low
FJ2017041,28.6,210,23.31,8.04,9.29,4.64,2.4,19.9,405,5.117,2.309,1.16944,0.042,0.65906,0.00537,0.02799,0.00416,47.80649851,low
FJ2017042,28,221,24.82,8.01,9.2,2.94,1.9,20.2,348,4.973,2.286,0.98463,0.0859,0.71856,0.00816,0.02015,2.00E-04,44.39830289,low
FJ2017043,29.2,182,23.58,8.03,9.11,3.92,2.1,20.7,410,4.573,1.737,1.1181,0.02553,0.82203,0.01095,0.03582,0.00218,48.10543758,low
FJ2017044,28.4,194,27.17,9.19,9.94,4.88,0.4,24.3,365,7.255,4.324,1.09757,0.02553,0.72287,0.01123,0.02407,0.00218,48.05818012,low
FJ2017045,28.6,195,26.95,9.29,10.06,6.13,0,25.2,352,5.795,3.165,0.9949,0.02004,0.67544,0.01039,0.02407,2.00E-04,49.24424569,low
FJ2017048,27.4,192,28.46,9.18,9.05,5.7,0.1,26,385,7.351,3.727,1.10784,0.00632,0.66121,0.01165,0.02211,0.01208,48.72568841,low
FJ2017049,27.1,182,29.85,8.6,8.58,3.79,0,25.2,415,4.377,2.179,0.9487,0.02553,0.6181,0.01053,0.02015,0.00416,46.57455481,low
FJ2017050,30.9,240,26.77,7.2,7.88,4.29,0.1,22.3,442,5.283,2.475,1.1335,0.01455,0.69571,0.00439,0.02407,0.0101,46.46491244,low
FJ2017062,31.1,252,30.06,8.44,8.94,4.36,0.6,23.2,421,5.284,2.458,0.98463,0.02553,0.67113,0.00564,0.02015,2.00E-04,45.92401951,low
FJ2017066,31.6,222,30.36,8.4,8.83,3.45,0.8,22.4,374,5.41,2.646,1.05137,0.00907,0.6181,0.0055,0.01819,0.00416,44.98584986,low
FJ2017067,31.1,261,31,8.23,8.81,3.4,9.8,23.5,435,5.633,2.974,0.71769,0.03651,0.5849,0.00564,0.0131,2.00E-04,43.44430182,low
FJ2017068,31.8,234,30.16,7.14,7.43,4.47,14.3,21,426,5.621,2.741,0.74849,0.03102,0.53748,0.00564,0.02015,0.00416,46.37317646,low
FJ2017069,31.8,250,32.12,8.5,9.06,6.18,15.9,22.8,429,7.375,4.477,0.75876,0.03651,0.46418,0.00648,0.02799,0.00218,48.57856164,low
FJ2017071,31.7,242,31.32,8.3,7.78,4.1,18.5,21.1,418,5.682,2.658,0.79983,0.03651,0.45944,0.00788,0.02407,0.00218,46.18942453,low
FJ2018018,21.4,190,14.33,7.68,9.73,5.31,5.3,26,262,5.024,1.31,1.13864,0.04749,0.74529,0.0143,0.03582,0.00416,49.52909493,low
FJ2018064,20.1,170,31.8,8.88,8.31,4.9,5.1,31.1,280,5.195,2.237,1.04623,0.14591,0.70648,0.01347,0.02799,0.01405,48.99967152,low
FJ2018072,29.2,180,26.53,7.22,8.26,5.74,14.3,18,445,7.005,3.784,1.21051,0.01244,1.06864,0.00788,0.02799,0.00614,49.5932225,low
FJ2018091,28.6,275,22.55,6.88,7.83,7.11,2.1,32,459,6.231,3.015,1.32344,0.08752,1.08589,0.00118,0.02015,0.00416,48.1408043,low
FJ2018092,28.2,232,21.87,7.72,7.84,6.35059,2.1,33,503,5.932,2.335,1.10784,0.0333,1.06002,0.00704,0.02015,0.00218,48.27014426,low
FJ2018094,27.9,198,20.57,6.35,7.45,5.04,3.4,34,545,5.456,2.274,1.38504,0.13757,1.06864,0.00257,0.02407,0.00218,48.14173353,low
FJ2019003,26.2,168,18.14,7.2,8.61,4.33,1.9,34,513,5.351,1.815,1.44665,0.1334,1.09882,0.01458,0.02799,0.00416,48.3952032,low
FJ2019017,24.6,141,17.64,7.05,8.83,1.38,2.6,34,477,4.097,1.809,1.26184,0.02596,1.0514,0.00425,0.02015,0.00218,42.31508177,low
FJ2019021,23.1,162,17.17,6.67,8.21,4.72,1.9,36,577,3.473,1.383,1.31318,0.09152,1.09451,0.00453,0.02015,0.00614,48.23524053,low
FJ2019022,23.9,221,19.22,8.12,10.55,6.4,0,36,422,4.388,1.931,1.29264,0.00847,1.02984,0.00564,0.0319,0.00416,49.59889432,low
FJ2019043,28,120,25.01,8.12,10.29,3.07,20.1,33,348,4.966,2.24,1.231,0.037,0.857,0.015,0.048,0.004,49.28123351,low
FJ2019045,32.1,231,29.92,8.25,9.16,4.02,1.6,35,416,5.106,2.4,1.323,0.029,0.776,0.011,0.032,0.002,46.95347352,low
FJ2019046,32.4,261,31.21,8.5,9.02,4.6,0.2,34,492,5.079,2.194,1.139,0.071,0.706,0.008,0.024,0.002,46.46867077,low
FJ2019049,32.3,212,29.88,8.17,8.69,7.04,2.1,34,452,5.078,2.207,1.026,0.067,0.662,0.007,0.028,0.004,49.9752245,low
FJ2019063,31.2,185,31.5,8.59,8.03,6.22,2.9,33.8,475,5.482,2.526,0.9936,0.092,0.541,0.006,0.024,0.004,49.53991367,low
FJ2019064,31.8,228,31.66,8.76,8.91,7.8,3.2,33,474,5.603,2.567,0.9372,0.067,0.522,0.006,0.024,0.002,49.84457214,low
FJ2019067,31.4,190,30.56,8.14,8.11,6.25,2,35,368,5.044,2.663,0.7631,0.05832,0.50435,0.00648,0.01918,2.00E-04,48.92432878,low
FJ2019068,32.1,232,30.8,7.99,8.06,9.15,1.9,35,506,5.357,2.623,0.6977,0.04998,0.46419,0.00509,0.01505,0.00218,49.51886132,low
FJ2019069,31.5,285,28.34,7.12,7.62,5.47,1.4,35,552,7.521,3.783,0.7086,0.08752,0.58101,0.00369,0.01505,0.00218,45.91290964,low
FJ2019086,29.1,224,25.62,7.18,6.32,5.7,1,33,241,6.803,2.666,0.77929,0.0041,0.53403,0.00229,0.02799,0.00218,48.62023811,low
FJ2019087,28.5,239,24.19,8.11,6.95,4.4,0.2,34,478,4.778,1.617,0.87169,0.05218,0.61163,0.00397,0.02015,0.00218,46.19907824,low
FJ2019088,27.7,240,22.94,7.3,7.8,2.75,1.3,35,392,4.895,1.679,0.77929,0.06967,0.6375,0.00453,0.02015,2.00E-04,43.69141138,low
FJ2019089,27.1,221,22.15,7.9,8.19,6.53,5,35,321,5.086,1.845,0.98463,0.07841,0.64181,0.00481,0.02407,0.00218,49.0434365,low
FJ2019090,25.2,160,19.83,8.82,7.7,5.01,0.6,37,522,7.959,3.291,0.9333,0.04781,0.64612,0.01765,0.02407,0.00218,49.02209712,low
FJ2019091,24.8,197,18.63,7.88,8.37,3.04,1.6,36,538,7.165,2.765,0.94356,0.03907,0.75391,0.01235,0.02407,0.00416,45.48531032,low
FJ2019092,23.8,193,19.26,8.43,9.71,2.7,1.5,36,519,7.422,3.273,0.92303,0.06967,0.84876,0.00146,0.02799,0.00416,45.29944137,low
