"","Anuraeopsis_fissa","Asplanchna_priodonta","Brachionus_angularis","Brachionus_calyciflorus","Brachionus_diversicornis","Brachionus_falcatus","Brachionus_forficula","Brachionus_donneri_bifurcus_","Conochilus_univornis","Fillnia_longiseta","Hexarthra_mira","Keratella_cochlearis","Keratella_valga","Notholca_fujianensis","Ploesoma_hudsoni","Ploesoma_truncatum","Polyarthra_trigla","Polyarthra_euryptera","Synchaeta_stylata","Trichocerca_capucina","Trichocerca_longiseta","Trichocerca_similis","Trichocerca_cylindrica","Fillnia_opoliensis"
"FJ2016022",0,0,0,0,0,0.1667,0,0,0,0,0,0.3333,0,0,0.3333,0,0.8333,3,9.1667,0.5,0,0,0,0
"FJ2016026",0,0,0,0,0.75,0,0,0,0,0,0,1.5,0,0,2.25,0,0,11.25,1.5,0,0,0,0,0
"FJ2016041",0,0,0,0,53.4667,0.1333,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0,0
"FJ2016042",0,0,0.1,0,0.1,0.2,5.9,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1,0.1,0,0.3,0
"FJ2016043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0,0,0,0,0.0667,0,0,0,0
"FJ2016045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.1,0,0
"FJ2016046",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0,0,0,0
"FJ2016056",0.1667,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0.8333,0,0,0,0,0,1,5,0.3333,0.1667,0,0
"FJ2016060",1,0.1667,0,0,0,0,0.6667,0,0,0.1667,0,0,0,0,0,0,0,0,0.3333,7.1667,11.5,0,0,0
"FJ2016064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0833,0.0833,0,0,0
"FJ2016066",0,0,0.2667,0,0,0,0.4,0,0,0,0,0.1333,0.4,0,0,0.6667,0,0,0,4.8,3.2,0,0,0
"FJ2016068",0,0,0,0,0,0.0667,0,0.4,0,0,0,0,0,0,0,0,0,0,0.0667,0.0667,0,0,0,0
"FJ2016069",0,0.1333,0.0333,0,0,0.1,0,0.2,0,0,0,0.1333,0,0,0,0.0667,0,0.0333,0,0,0.1,0,0,0.1
"FJ2016070",0,0,0,0,0.5,0,0.5,4,0,0,0,0.5,0,0,0,3,0,1,6,0,1,0,0,0
"FJ2016071",0,0,0,0,0.1333,1.6,0,2.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ2016084",0,0,0,0.1,0,0.1,0,0.8,0,0,0.3,1.2,0.1,0,0,0,0.2,0.2,6.4,0.2,0.2,0,0,0
"FJ2016088",0,0,0.1667,0,0,0,0,0.1667,0,0,0,1.1667,0.1667,0,0.1667,0,0,0.1667,8.8333,0.5,0.1667,0,0,0
"FJ2016089",0,0.0667,0,0,0,0,0,0,0,0,0,1,0,0.0667,0,0,0,0,0.7333,0.0667,0.0667,0,0,0
"FJ2016090",0,0,0.1333,0,0,0,0,0.1333,0,0,0,0.1333,0,0,0.2667,0,0.2667,0.1333,3.4667,0.1333,0.2667,0.1333,0,0
"FJ2016091",0.8,0,0,0,0,0,0.0667,0.0667,0,0,0,0.2667,0,0,0,0.0667,0,0,2.2667,0,0,0.0667,0,0
"FJ2016093",0.0667,0,0,0,0,0,0,0,0,0,0,0.1333,0,0.0667,0,0,0,0,0.2667,0.0667,0.0667,0,0,0
"FJ2016095",0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0.1,7.3,0,0,0,0,0
"FJ2017001",6,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0
"FJ2017008",1.8667,0.1333,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0.2,0.0667,0,0,0,0
"FJ2017017",2.5,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.1,0,0,0,0,0
"FJ2017018",3.0667,0.4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0.5333,0,0,0,0,0
"FJ2017019",10.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,2.2,1,0.1,0,0.1,0,0
"FJ2017020",2.6,0.1,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0,0,0.6,0.9,0,0,0.1,0,0
"FJ2017022",0.7333,0.4667,0,0,0,0.0667,0,0,0,0,0,0.1333,0,0,0,0,0.1333,1.7333,4.1333,0,0,0.0667,0,0
"FJ2017023",2.5333,4.9333,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0.8,0.4,0,0.2667,0.2667,0,0
"FJ2017024",0.6,1.5,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,2.8,0.4,0.1,0.9,0.1,0,0
"FJ2017040",1.5167,0.1167,0,0,0,0,0,0,0,0,0,0.35,0,0.1167,0,0,0,0.1167,0.2333,0.2333,0,0,0,0
"FJ2017041",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0
"FJ2017042",0.2667,0,0,0,0.1333,0,0.1333,0,0,0,0,0.6667,0,0,0,0,0,0,0.5333,0,0,0,0,0
"FJ2017043",0,0,0,0,0,0,0.0833,0,0.0833,0,0,0.1667,0.1667,0.0833,0,0,0,0.0833,0,0.4167,0.1667,0,0,0
"FJ2017044",0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0.4,0,0,0
"FJ2017045",0,0,0,0,0.1333,0,0.1333,0,0,0,0,0,0,0,0,0.1333,0,0,0.1333,6.5333,0,0,0,0
"FJ2017048",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,26.6667,0.4,0.6,0,0
"FJ2017049",0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,1.65,0.35,0,0,0
"FJ2017050",0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,2.4,0.2667,0,0,0
"FJ2017062",0,0,0,0,0,0.8,1.4,83,0,0,0.2,0.2,0.4,0,0,0,0,0,0,5.6,0,0,0,0
"FJ2017066",0,0.1,0,0,0,0,0,0.1,0,0,0,0.2,0,0.1,0,0,0,0,0,0.2,0.1,0,0,0
"FJ2017067",0,0.1333,0,0,0,0,0,0.4,0,0.1333,0,0,0,0,0.4,0,0.1333,0,0,1.4667,0.2667,0.1333,0,0
"FJ2017068",0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,14.1667,1.3333,0,0,0
"FJ2017069",0,0,0.1333,0,0,0.1333,0.5333,1.6,0,0,0,0.1333,0.9333,0.2667,0,0,0,0,0,10,5.0667,0,0,0
"FJ2018018",1.1,3.2,0,0,0,0,0,0,0.8,0,0,5.7,0,0,0,0.2,0.3,0,0,0,0,0.5,0,0
"FJ2018064",0,0,3,0.6667,0.3333,0,1.3333,0,0.3333,0,0.3333,0,0,0,0,0,0.3333,0,2.3333,0,0.6667,0,0,0
"FJ2018072",0,0.1333,1.6,0.4,0.1333,1.4667,1.2,0,0,0,1.6,0.1333,0.9333,0,0.5333,0,0,0,2.6667,0,0,0.1333,0,0.1333
"FJ2018091",0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0.1333,0,0,0,0.1333,2.2667,0,0,0.1333,0,0
"FJ2018092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4667,0,0,0,0,0
"FJ2018094",0,0,0,0,0,0,0,0,0,0,0,0.0333,0,0.0333,0.0333,0,0.0333,0,0.2333,0,0,0,0,0
"FJ2019003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333,0,0,0,19.1333,0,0,0,0,0
"FJ2019017",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.2,0,0,0,0,0
"FJ2019021",0.0595,0.4167,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0.0595,5.7143,0.119,0,0,0,0
"FJ2019022",0,11.1667,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,11.5,0,0,0,0,0
"FJ2019043",0,0,0,2.5667,0.9333,0,2.3333,0,0,0,0,0,0,0,0,0,0,0.2333,2.3333,0.2333,0,0,0,0
"FJ2019045",0,0,0.2667,0.5333,2.4,0,4.1333,0,0,0,0,0,0,0,0.4,0,0,0,0,0.2667,1.6,0,0,0
"FJ2019046",0,0,0,3.125,0,1.25,0,0,0,0,8.125,0,0,0,0,0,0,0,0,0.2083,0.2083,0,0,0
"FJ2019049",0,0,0,0.1333,0.4,0,3.7333,0,0,0,0,0,1.7333,0,0,0,0,0,0,1.4667,0.1333,0,0,0
"FJ2019063",0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.8,0,0,0,0,0,0,3.4,0.2,0,0,0
"FJ2019064",0,0,0,0,0,0,0.6,0,0,0,0.6,1.6,0.8,0,0,0,0,0,0.2,16.8,0.4,0,0,0
"FJ2019067",0,0,0,0,0,0,1.1667,0,0,0,0,0.1667,1.3333,0,0,0,0,0,0,5,0.1667,0.1667,0,0
"FJ2019068",0.5,0,2.1667,0,0,1.3333,0.5,4.6667,0,0,0,0.1667,0.1667,0,0,0,0,0,0,1.1667,0,0,0,0
"FJ2019069",0,0,0,0,0,0.0667,0.1333,0.1333,0.1333,0.2667,0,0.0667,0.0667,0,0,0,0,0,0.0667,0.9333,0.0667,0,0,0.0667
"FJ2019086",0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.35,0.05,0.05,0,0,0,0
"FJ2019087",0,0,0,0,0,0,0,0,0,0.0444,0,0.0444,0.0667,0,0,0,0,0.0889,0.9778,0.0222,0,0,0,0
"FJ2019088",0.1111,0.1111,0,0,0,0,0,0,0,0,0,0.4444,0.2222,0,0,0,0,1.2222,6.3333,0.1111,0,0,0,0
"FJ2019089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4.3,0,0,0,0,0
"FJ2019090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0,0
"FJ2019091",0,0,0,0,0,0,0,0,0.0694,0,0,0.1389,0,0,0,0,0,0.2083,0.5556,0,0,0,0,0
"FJ2019092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,3.0667,0,0,0,0,0
