"","Anuraeopsis_fissa","Asplanchna_priodonta","Brachionus_angularis","Brachionus_calyciflorus","Brachionus_diversicornis","Brachionus_falcatus","Brachionus_forficula","Brachionus_donneri_bifurcus_","Conochilus_univornis","Fillnia_longiseta","Hexarthra_mira","Keratella_cochlearis","Keratella_valga","Notholca_fujianensis","Ploesoma_hudsoni","Ploesoma_truncatum","Polyarthra_trigla","Polyarthra_euryptera","Synchaeta_stylata","Trichocerca_capucina","Trichocerca_longiseta","Trichocerca_similis","Trichocerca_cylindrica","Fillnia_opoliensis"
"FJ2018043",0.8,3.0667,3.1111,0.0444,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111,0.0444,0.0889,0,0,0
"FJ2018045",1,4.3,6.1,0.5,2.5,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,2.6,0,0.2,0,0,0
"FJ2018046",0.0833,0.5833,0.3333,0,2.0833,0,0.0833,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0833,0,0,0,0
"FJ2018047",0.2667,0.2667,0.2667,0.1333,2.1333,0,0,0,0.1333,0,0,0,0.1333,0,0.2667,0,0,0,3.7333,0,0.6667,0.1333,0,0
"FJ2018062",0.4,0,1.8,1.2,4,0,0.8,0,0.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0.6,0,0
"FJ2018063",0.2667,0,1.3333,0,0.2667,0,0.1333,0.1333,0,0,0,0.2667,0,0,0,0.1333,0.1333,0,28.2667,0.8,0.5333,0.1333,0,0
"FJ2018065",0,0,10,3.6,1.0667,0,1.8667,0,0.1333,0,0,0,0,0.2667,0.1333,0,0,0,0,0.1333,0.2667,0,0,0
"FJ2018066",0,0,12.6,0,1.2833,0.1167,1.2833,0.1167,0,0,0,0.35,0,0,0,0.2333,0,0,1.6333,0.5833,0.2333,0.5833,0,0
"FJ2018067",0,0.1481,1.7778,0,1.037,0.2963,0.7407,0,0.2963,0,0,0.2963,0,0,0.2963,0,0,0,4.1481,2.2222,0.1481,0,0,0
"FJ2018068",0.6667,0,3.4667,2.6667,0.6667,0.1333,0.1333,0,0.1333,0,0,0.6667,0.2667,0,0.1333,0,0,0,2.1333,0,0.2667,0,0,0
"FJ2018070",4.1667,0,29.1667,15,5,14.1667,45,0,0,0,0.8333,58.3333,0,0,0,0,0,0,15,0,2.5,1.6667,0,0
"FJ2018071",0,0,4.1067,0,0,0.3733,1.3067,0,0.1867,0,1.12,0.1867,0.56,0,0.3733,0,0.1867,0.56,1.12,0.7467,0.1867,0,0,0
"FJ2018073",0.1667,0,1.1667,0,0,1,0.3333,0,1,0,0,0.5,0.1667,0,0.1667,0,0.6667,0.1667,4.8333,0,0,0,0,0
"FJ2018088",0,0,1,0.1,0.6,0.9,0,0,0,0,0,0.1,1,0,0.4,0,0,0.1,14.3,0,0,0,0,0
"FJ2018089",0.0667,0,0.2,0,0.1333,0.0667,0,0,0,0,0,0.3333,0,0,0,0,0,0.0667,1.3333,0,0,0,0,0
"FJ2018090",0,0,1.3333,0,0.3333,0.3333,0,0,0,0,1.1667,0.6667,0.5,0,0,0.5,0,0.1667,88.3333,0,0,0,0,0
"FJ2018095",0,0,0,0,0.0667,0,0.0667,0,0,0,0,0.2,0,0,0,0,0.0667,0,7.7333,0,0,0,0,0
"FJ2019010",0,0,0.1667,0,0,0,0.1667,0,0.1667,0,0,0.1667,0,0,0,0,0,0,3.3333,0,0,0,0,0
"FJ2019018",0,0,0.0667,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0.1333,0,0,0,0,0
"FJ2019019",0,0.1333,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4667,0,0,0,0,0
"FJ2019020",0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333,0,0,0,0,0
"FJ2019023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ2019024",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.5,0,0,0,0,0
"FJ2019039",0,0,0.6667,0,0.6667,0,0.1333,0,0,0,0,0,0,0,0,0.1333,0,0.1333,0,0,0,0,0,0
"FJ2019040",0,0,9.8,24.2667,8.1667,0,2.3333,0,0,0,0,0,0,0,0,0,0,0,2.8,0.2333,0.2333,0.2333,0.2333,0
"FJ2019041",0,0,0.1667,1.6667,1.3333,0,1.8333,0,0,0,0,0,0,0,0.1667,0,0,0.1667,0.1667,1.1667,0,0,0,0
"FJ2019042",0,0,15.3333,0,0.2667,0,8.2667,0,0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0,0,0
"FJ2019044",0,0,7.95,1.35,5.25,0,0.6,0.15,0.3,0,0,0,0,0,0,0,1.05,0,0.6,0.6,0,0,0,0
"FJ2019062",0,0,0.5,0,0,0,4,0,0,0,0,0.3333,6.5,0,0.1667,0,0,0,0,7.6667,0.1667,0,0,0
"FJ2019065",0,0,0,0,0,0,0.8333,0,0,0,0.1667,0.5,1.1667,0,0,0,0,0,0,11.3333,0.5,0,0,0
"FJ2019066",0,0,0,0,0,0,0.1333,0,0,0,0.4,0.2667,1.0667,0,0.1333,0,0,0,0,0.6667,0,0,0,0.1333
"FJ2019070",0,0,0,0,0,0,0,0,0,0,0,0.0758,0.0758,0,0,0,0,0,0.0758,0.9091,0,0,0,0
"FJ2019082",0,0,0,0,0,0.25,0,0,0,0,0,0.0833,0.1667,0,0,0,0.25,0.25,0.0833,1.25,0.25,0,0,0
"FJ2020009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,0,0,0,0,0
"FJ2020016",0,0.1333,0,0,0,0,0.1333,0,0,0,0.0667,0.0667,0,0,0,0,0,1.6667,0.6667,0,0,0,0,0
