"","Depth","Transparency","WT","pH","DO","Chla","Turbidity","EC","ORP","TC","TOC","TN","NH4.N","NO3.N","NO2.N","TP","PO4.P","TSIc","group"
"FJ2017072",31.7,284,31.79,8.06,8.13,12.85,5.9,28,457,5.612,2.514,0.71769,0.12981,0.45125,0.00844,0.02407,0.00218,51.5560261740241,"high"
"FJ2017073",29.8,250,30.84,8.08,8.32,17.56,8.7,26,532,5.458,2.84,0.75876,0.10237,0.45987,0.00928,0.02015,0.00812,53.33820236231,"high"
"FJ2017074",28.8,259,30.66,8.19,8.5,16.81,10.9,27,463,5.281,2.277,0.66635,0.11884,0.40813,0.00816,0.02015,2e-04,52.9556095140274,"high"
"FJ2017075",27.8,216,31.33,8.6,9.02,23.67,19.1,29,497,5.374,2.409,0.58422,0.00358,0.34303,0.00704,0.02407,0.00812,55.9633755750119,"high"
"FJ2017090",27.2,203,29.43,6.66,6.94,24.95,20.4,28,530,5.563,2.365,0.64582,0.00358,0.44219,0.00425,0.02407,0.00416,56.5080209758658,"high"
"FJ2017091",26.3,240,27.59,6.98,7.28,8.63,18.5,28,485,5.868,2.222,0.55342,0.00358,0.42926,0.00509,0.02799,0.00416,50.5222112162759,"high"
"FJ2017092",25.8,238,24.5,7.45,7.46,7.95,1.97,28,502,5.52,1.866,0.83063,0.09688,0.43357,0.000617,0.02799,0.00416,50.1232541337928,"high"
"FJ2017093",25.4,265,23.63,7.35,7.95,10.66,1.53,24.1,162,5.366,1.593,0.63555,0.042,0.41633,5.86e-05,0.02407,0.00416,50.8625815491403,"high"
"FJ2017094",25.2,222,22.44,7.56,7.29,9.45,2.07,25,440,5.434,1.581,0.72796,0.21763,0.42064,0.000617,0.02799,0.00218,51.3367149329717,"high"
"FJ2017095",24.8,190,21.07,7.63,7.36,13.49,1.97,25,330,6.09,2.202,0.76902,0.05846,0.49824,0.03357,0.02407,0.00218,53.5337598153917,"high"
"FJ2017096",24.1,190,20.02,7.24,7.23,8.09,2,25.4,444,5.316,1.61,0.73822,0.05297,0.57154,0.000617,0.02407,2e-04,50.8250935697423,"high"
"FJ2017097",23.7,192,18.32375,7.18813,8.6625,10.33813,1.96,25.1,412.4375,4.345,1.291,0.83063,0.08042,0.60301,0.00146,0.03778,0.00218,53.1388750605505,"high"
"FJ2017098",22.7,160,17.28,7.21,9.35,16.97,3.13,24,429,4.831,1.451,0.89223,0.06944,0.60301,0.00397,0.03778,0.00416,56.5446036198704,"high"
"FJ2018001",22.6,190,16.82,7.22,9.44,13.39,2.1,24,372,5.361,1.562,0.97436,0.08042,0.62888,0.00676,0.0417,0.00416,54.7860042019975,"high"
"FJ2018002",22.6,170,16.24,7.61,10.05,17.27,2.1,25,376,4.807,1.554,0.98463,0.06944,0.71511,0.01095,0.03778,0.00614,56.3779748286815,"high"
"FJ2018017",21.7,228,16.4,7.37,9.27,16.64,2.1,25,403,4.97,1.255,0.94356,0.04749,0.72804,0.01458,0.03386,0.00614,54.6673189805771,"high"
"FJ2018019",20.1,150,16.43,8.11,10.04,9.81,4.8,30,446,5.322,1.547,1.0257,0.02553,0.67199,0.01123,0.03582,0.00614,53.7923839433491,"high"
"FJ2018021",19.6,150,18.07,7.78,9.82,10.67,6.3,31,446,4.934,1.273,1.36451,0.09139,0.83151,0.01207,0.03582,0.00812,54.2375445516935,"high"
"FJ2018022",19.2,142,19.39,8.86,11.03,22.78,6,32,411,6.421,3.074,1.39531,0.09139,0.90481,0.01374,0.04365,0.0101,58.9545863892672,"high"
"FJ2018023",19.6,130,20.96,8.83,10.13,10.9,2.6,33,449,6.176,2.86,1.53905,0.10786,0.97379,0.02129,0.03974,0.0101,55.2070590335837,"high"
"FJ2018024",18.3,168,21.45,7.4,9.1,10.32,5.8,29,427,6.378,2.889,1.55958,0.07493,0.9393,0.01849,0.04365,0.01208,54.0405219641436,"high"
"FJ2018036",16.9,130,21.64,7.3,8.82,8.24,6.4,26,429,6.364,2.704,1.54932,0.042,1.00397,0.01598,0.04757,0.00614,54.1477617563557,"high"
"FJ2018040",15.8,95,23.99,7.86,7.9,15.18,6.8,31.5,478,6.581,2.669,1.31318,0.06944,1.03415,0.01263,0.04757,0.0101,58.7267410917482,"high"
"FJ2018041",14.5,60,24.16,7.65,8.21,22.69,15.8,33,522,6.615,2.72,1.31318,0.07493,1.06002,0.01095,0.06324,0.00812,63.4919575302721,"high"
"FJ2018042",12.1,105,28.47,8.17,7.5,19.67,4.6,36,394,9.649,5.068,1.12837,0.0333,0.81858,0.01235,0.03974,0.00812,59.2483309668032,"high"
"FJ2018043",10.9,60,28.97,8.37,7.41,25.02,17.3,35.5,374,7.566,3.723,1.12837,0.08335,0.75822,0.01235,0.02799,0.00812,62.0939490132663,"high"
"FJ2018045",12.7,132,27.64,8.19,8.66,10.65,4.7,30.1,331,6.55,3.447,1.1489,0.07918,0.77978,0.01179,0.02799,0.00812,54.1949408084119,"high"
"FJ2018046",14.2,135,26.67,8.21,9.25,17.52,3.8,27,403,9.111,4.767,0.88196,0.07084,0.58576,0.00955,0.03582,0.01405,57.3154811745692,"high"
"FJ2018047",21.1,60,29.35,8.81,8.78,15.54,7.6,26.5,361,7.836,4.521,1.01543,0.01661,0.62026,0.01682,0.03974,0.01405,60.3948809649372,"high"
"FJ2018062",20.8,140,30.89,9.07,9.33,7.84,3.2,25,245,6.006,2.961,1.0565,0.02496,0.65044,0.01486,0.03582,0.00614,52.9001741620555,"high"
"FJ2018063",20.9,140,30.36,8.69,8.18,11.87,3.6,30,313,6.747,3.237,0.94356,0.0333,0.76253,0.00955,0.03582,0.00812,55.0974052296566,"high"
"FJ2018065",17.8,147,31.75,8.41,8.46,6.85,2.1,26,408,5.651,2.726,1.12837,0.03747,0.73235,0.00816,0.02407,0.00416,51.0418642817192,"high"
"FJ2018066",16.2,145,31.35,7.8,7.58,13.25,3.9,32,466,6.444,3.123,0.98463,0.07501,0.71511,0.00788,0.02015,0.00416,54.1776236240369,"high"
"FJ2018067",17.2,130,29.92,7.72,7.65,16.5,7,31,441,7.722,4.298,1.086,0.09688,0.81858,0.01011,0.0319,0.0101,56.8868294954471,"high"
"FJ2018068",25.9,148,29.55,8.98,9.7,8.38,4.9,24,384,5.91,3.073,1.125,0.14628,0.80133,0.00313,0.02799,0.00416,52.4354405892882,"high"
"FJ2018070",28.7,132,29.1,9.01,9.39,9.28,4.4,20,261,6.735,3.942,1.36451,0.02913,0.89619,0.00676,0.03582,0.00416,54.0452599256961,"high"
"FJ2018071",29.3,171,28.24,7.14,8.5,10.78,5,18,471,6.343,3.47,1.27211,0.01661,1.06864,0.00844,0.03582,0.00812,53.7311065090801,"high"
"FJ2018073",29.5,165,25.41,7.09,7.6,14.4,4.7,19,464,6.631,3.251,1.26184,0.05832,1.04277,0.00676,0.0319,0.0101,55.1453385693709,"high"
"FJ2018088",29.5,140,24.73,7.43,8.38,12.19,3.3,19,410,6.637,3.05,1.15917,0.01244,1.02984,0.00509,0.02799,0.00416,54.6585629279853,"high"
"FJ2018089",29.1,198,23.04,6.82,7.48,15.35,2.7,21,519,7.01,3.217,1.21051,0.05415,0.97379,0.00481,0.02407,0.00614,54.0414976652682,"high"
"FJ2018090",28.8,330,23.53,6.97,8.79,13.17,3.2,32,525,6.403,2.823,1.21051,0.02078,1.0169,0.0062,0.02407,0.00614,51.0438577588613,"high"
"FJ2018095",27.2,195,19.69,7.02,8.52,8.28,3,34,544,5.48,1.969,1.33371,0.06249,1.07295,0.00872,0.02407,0.00416,50.8368995631131,"high"
"FJ2019010",25.4,200,18.54,6.42,9.54,10.65,0.7,34,538,5.961,2.283,1.16944,0.06249,1.0902,0.01235,0.02799,0.00614,52.4166302768081,"high"
"FJ2019018",22.5,230,18.09,7.57,9.48,8.88,1.8,35,547,4.967,2.874,1.15917,0.05655,0.99966,0.00341,0.02799,0.00416,50.8556347040584,"high"
"FJ2019019",22,200,18.03,7.65,9.59,12.84,1.9,35,468,4.297,1.979,1.25157,0.10026,0.9781,0.00369,0.02407,0.00416,53.0526328382611,"high"
"FJ2019020",21.5,180,17.92,7.3,10.01,31.78,1.6,35,511,4.047,1.899,1.21051,0.12212,0.99104,0.00397,0.02799,0.00614,58.6590760554573,"high"
"FJ2019023",24.7,138,20.82,7.69,10.8,14.04,1.1,36,464,4.838,2.888,1.29264,0.04344,1.06433,0.01039,0.0319,0.00416,55.7759797700652,"high"
"FJ2019024",25.1,120,22.47,8.62,11.11,24.27,1.8,37,432,4.929,2.843,1.251,0.05218,0.94361,0.01067,0.03974,0.00614,59.7900767908724,"high"
"FJ2019039",25.4,170,21.95,8.4,10.32,9.95,0.9,38,461,4.969,2.537,1.40558,0.03907,0.96948,0.01123,0.03582,0.00614,53.3317801075513,"high"
"FJ2019040",24.6,189,26.15,8.52,10.12,9.07,0.2,39,447,5.269,2.754,1.29264,0.10026,0.88325,0.01263,0.03974,0.00416,52.6319033982608,"high"
"FJ2019041",24.8,156,22.79,7.93,8.71,10.61,2.3,38,485,5.471,2.953,1.33371,0.04344,0.91343,0.02547,0.04757,0.00416,54.706632182187,"high"
"FJ2019042",26,108,28.17,8.34,10.95,63.07,3.4,40,464,5.915,3.275,1.375,0.029,0.666,0.017,0.063,0.008,66.3830715259778,"high"
"FJ2019044",30.2,158,28.76,8.78,10.35,22.62,6.8,37,471,5.184,2.664,1.087,0.029,0.725,0.013,0.04,0.006,58.2550541891275,"high"
"FJ2019062",31.3,189,31.12,8.08,8.67,11.79,2.6,35,459,5.39,2.459,0.9516,0.046,0.607,0.006,0.024,0.004,52.8359552229774,"high"
"FJ2019065",32.6,235,30.95,9.62,8.23,14.6,0,34,464,5.569,2.373,0.9805,0.108,0.541,0.007,0.055,0.002,54.9852687157901,"high"
"FJ2019066",31.8,209,29.85,7.51,7.11,9.05,4.2,35,427,7.122,3.595,0.9484,0.00827,0.56276,0.00648,0.01918,2e-04,50.4774321153894,"high"
"FJ2019070",31,282,28.59,7.89,8.62,10.91,4.5,36,170,7.787,4.118,1.1773,0.03747,0.43498,0.00313,0.01918,0.00218,50.1854930961281,"high"
"FJ2019082",30.2,230,27.17,7.43,7.96,12.24,2.3,36,179,5.113,2.165,0.85116,0.04581,0.47879,0.00201,0.02015,2e-04,51.7831489990573,"high"
"FJ2020009",21.8,150,18.78,8.11,9.09,6.7,1.8,37,387,7.438,3.006,0.94356,0.06092,0.76684,0.00201,0.02407,0.00218,50.838110940801,"high"
"FJ2020016",20.5,135,17.98,8.27,8.2,5.41,2.1,37,430,7.409,2.793,1.0589,0.05218,0.75822,0.00118,0.02743,0.00416,50.4632731326685,"high"
